Tier,Algo,Reward,Std
1,EGP,-2763.4135874106655,6179.139730433806
1,FPRL,-16.324644279839376,36.41127017033357
1,PPO,-1.4169069854040618e17,3.1682998554225965e17
2,EGP,NaN,NaN
2,FPRL,NaN,NaN
2,PPO,NaN,NaN
3,EGP,-2.2415151431844946e19,4.9671439368326504e19
3,FPRL,-4.531019642892633e16,1.0131667923472368e17
3,PPO,-7.125024260598755e20,1.5931041155206045e21
