seed,algo,avg_reward,collapse_count,final_resource_level
1,EGP,-40.52864649309487,1,0.937711598294653
1,FPRL,-5.142998098608718,300,0.0
1,PPO,-40.52864649309487,1,0.937711598294653
2,EGP,-40.55964025218195,3,0.9827408491880832
2,FPRL,-5.127599795934188,300,0.0
2,PPO,-40.55964025218195,3,0.9827408491880832
3,EGP,-40.58807723314868,5,0.9379247382020539
3,FPRL,-5.1371505904887345,300,0.0
3,PPO,-40.58807723314868,5,0.9379247382020539
4,EGP,-40.51154805460974,1,0.9538410143731615
4,FPRL,-5.138538593506239,300,0.0
4,PPO,-40.51154805460974,1,0.9538410143731615
5,EGP,-40.58258387829584,1,0.9584176721679541
5,FPRL,-5.128313736972504,300,0.02499997615814209
5,PPO,-40.58258387829584,1,0.9584176721679541
6,EGP,-40.51366140435239,2,0.9831656640383708
6,FPRL,-5.140922819700643,300,0.0
6,PPO,-40.51366140435239,2,0.9831656640383708
7,EGP,-40.527977691188696,1,0.923192469069875
7,FPRL,-5.135465257392154,300,0.008237559272238126
7,PPO,-40.527977691188696,1,0.923192469069875
8,EGP,-40.43506602663901,1,0.8909599614333206
8,FPRL,-5.13845221080629,300,0.0
8,PPO,-40.43506602663901,1,0.8909599614333206
9,EGP,-40.53887077724161,1,0.976306516568305
9,FPRL,-5.128588539917522,300,0.0
9,PPO,-40.538009421742494,3,0.9475957555827703
10,EGP,-40.51685824428506,5,0.9446863600976191
10,FPRL,-5.134023635923767,300,0.0
10,PPO,-40.51685824428506,5,0.9446863600976191
