alpha,seed,algo,final_reward,final_stability
0.75,7,PPO,-423.2159367145202,0.12140175127944751
0.75,7,EGP,-176.8409207155059,0.4582707767379444
0.75,7,FPRL,-218.48210246584628,0.4306728670107874
0.75,8,PPO,-199.28092770958617,0.38457914324459364
0.75,8,EGP,-149.92480115437942,0.5019511315600526
0.75,8,FPRL,-219.1633617693151,0.43516684406131323
0.75,9,PPO,-117.96882077914049,0.5568426952698315
0.75,9,EGP,-120.10719003004314,0.549886073620505
0.75,9,FPRL,-209.27526745849843,0.4608435165936117
0.75,10,PPO,-147.06000299765233,0.5182698417069198
0.75,10,EGP,-143.2007173348738,0.5048805335607908
0.75,10,FPRL,-195.26943991925833,0.4630498328106191
0.8,1,PPO,-130.92841843456816,0.5676314549548882
0.8,1,EGP,-265.341991135023,0.3969687923058484
0.8,1,FPRL,-222.14640355358029,0.44965503202920876
0.8,2,PPO,-171.11781004407058,0.48427248323483907
0.8,2,EGP,-297.52661993338387,0.3486346153705746
0.8,2,FPRL,-207.12278137091056,0.44749570516561527
0.8,3,PPO,-157.02198388668162,0.5606837254574423
0.8,3,EGP,-270.70266021927984,0.41032397760320183
0.8,3,FPRL,-226.72455062650096,0.45416833457078976
0.8,4,PPO,-266.2757212122307,0.40686050838985083
0.8,4,EGP,-162.9334035912959,0.4843459565048855
