seed,algo,alpha,avg_reward,reward_std,stab_error
1,PPO,0.1,-304.7980953099599,53.07279265357433,0.46842513659380053
1,SAC,0.1,-393.91648882933515,69.52135901341696,0.4041022956101971
1,EGP,0.1,-305.5752720302726,53.29024401622092,0.46869535192157985
1,FPRL,0.1,-379.8629250777368,58.62835723551206,0.4498394122871562
1,ICRL,0.1,-305.5752720302726,53.29024401622092,0.46869535192157985
2,PPO,0.1,-325.7272096119819,52.471528493204715,0.4590549525145674
2,SAC,0.1,-399.5533536970435,63.35162691809138,0.3823170941007211
2,EGP,0.1,-326.6070465657259,52.563833220935386,0.45869460854296423
2,FPRL,0.1,-386.6313015793284,59.51142680359784,0.4393204845616294
2,ICRL,0.1,-326.6070465657259,52.563833220935386,0.45869460854296423
3,PPO,0.1,-309.02200975082286,48.26662068364995,0.46896159922129094
3,SAC,0.1,-387.44356797066314,60.73591643949859,0.4443312136334096
3,EGP,0.1,-308.989401213684,48.26283577618429,0.4689585779455573
3,FPRL,0.1,-386.42033593834884,60.75100002787784,0.4516343931547898
3,ICRL,0.1,-308.989401213684,48.26283577618429,0.4689585779455573
4,PPO,0.1,-343.01887486336767,53.63254560145345,0.4686740739843219
4,SAC,0.1,-419.8366969298802,65.24020621126265,0.3980217210199204
4,EGP,0.1,-342.7927675991722,53.619743605648814,0.46871332424652384
4,FPRL,0.1,-381.4027129044918,56.23531829396554,0.4585763837274498
4,ICRL,0.1,-342.7927675991722,53.619743605648814,0.46871332424652384
5,PPO,0.1,-287.9901728009468,51.27210187030064,0.4521490810809191
5,SAC,0.1,-461.3610397088274,60.440710504403704,0.35375643674682455
5,EGP,0.1,-287.82786467608776,51.25188123696544,0.45222679292726786
5,FPRL,0.1,-377.19568785405085,56.00079670168245,0.4237486919508318
5,ICRL,0.1,-287.82786467608776,51.25188123696544,0.45222679292726786
6,PPO,0.1,-303.2236280251188,44.50828632070769,0.488027727861586
6,SAC,0.1,-424.47072105367425,67.85446106982403,0.3933480614665924
6,EGP,0.1,-303.3773341392304,44.33323476149957,0.4882452051496247
6,FPRL,0.1,-382.8192951410201,52.85111711734216,0.4725817093430899
6,ICRL,0.1,-303.3773341392304,44.33323476149957,0.4882452051496247
7,PPO,0.1,-380.660692753042,66.46101234054714,0.39769782181547486
7,SAC,0.1,-394.6204975882157,67.44151018207945,0.4202013635131411
7,EGP,0.1,-380.45575395043295,66.45524870867912,0.39760782367861336
7,FPRL,0.1,-429.7372096138663,76.35738749894924,0.36810788680511086
7,ICRL,0.1,-380.45575395043295,66.45524870867912,0.39760782367861336
8,PPO,0.1,-336.85664569350655,51.54187321878315,0.41504308074158514
8,SAC,0.1,-389.52959630738377,53.167216580316335,0.440958645398063
8,EGP,0.1,-336.4295437298435,51.28788566717216,0.4151742617478184
8,FPRL,0.1,-439.15502824827496,69.89033217615379,0.34747605510368673
8,ICRL,0.1,-336.4295437298435,51.28788566717216,0.4151742617478184
9,PPO,0.1,-295.87074058390516,52.83650675423397,0.44948256130929426
9,SAC,0.1,-397.17739033388665,61.11337282203405,0.45205364528401004
9,EGP,0.1,-295.44275819005975,52.78787298055007,0.44906226596005133
9,FPRL,0.1,-391.7309092360256,58.584204747652194,0.4366402681665683
9,ICRL,0.1,-295.44275819005975,52.78787298055007,0.44906226596005133
10,PPO,0.1,-310.2430738639515,42.32129295343601,0.45957105688864397
10,SAC,0.1,-393.29210523419476,52.759451139072354,0.43859955570791265
10,EGP,0.1,-309.8755526606042,42.29893878415106,0.45897501108771654
10,FPRL,0.1,-371.1098686882915,50.972496670877106,0.44782426034433964
