condition,alpha,avg_reward,avg_consistency
Standard RL,0.0,-1820.2413330078125,0.854170024394989
Oracle Only,0.0,-1.3429848313331605,0.43015684485435485
Full Reflexive,0.0,-1.447175097465515,0.439838182926178
Standard RL,0.5,-1720.2817430973053,0.8590622544288635
Oracle Only,0.5,-1.2963380932807922,0.43830907344818115
Full Reflexive,0.5,-1.189464008808136,0.44390257596969607
Standard RL,1.0,-3236.2980001449587,0.9861147999763489
Oracle Only,1.0,-1.020143049955368,0.4374694526195526
Full Reflexive,1.0,-1.1085222244262696,0.44718097448349
