alpha,seed,algo,avg_reward,stability_error
0.5,46,EGP,-72.48524728146064,0.5721448370196032
0.5,46,FPRL,-200.93491195724948,0.4607497372517652
0.5,46,PPO,-59.24068394289492,0.5619013488224069
0.5,47,EGP,-229.9489923149637,0.42234252500463815
0.5,47,FPRL,-210.94417954699793,0.449147596529241
0.5,47,PPO,-55.39115904297977,0.5575865483057826
0.5,48,EGP,-147.6427615732323,0.5032405053710907
0.5,48,FPRL,-205.94083604060899,0.4502344056686074
0.5,48,PPO,-99.82111582336562,0.5654471197393915
0.5,49,EGP,-205.72441632585242,0.46054450858516915
0.5,49,FPRL,-209.78539315406385,0.4563724645579286
0.5,49,PPO,-156.58641305782618,0.48820713871357346
0.5,50,EGP,-240.27503906928644,0.4242901804840519
0.5,50,FPRL,-203.9044956431455,0.4608030455328468
0.5,50,PPO,-165.94448651479462,0.5376180979487133
1.0,1,EGP,-338.9273772606712,0.2868648767425199
1.0,1,FPRL,-209.46199007164714,0.4442956588995901
1.0,1,PPO,-98.46853594697171,0.5767823981633025
1.0,2,EGP,-337.5588380652071,0.2948856657298854
1.0,2,FPRL,-205.22947546046072,0.4516066094790682
1.0,2,PPO,-139.7250207777089,0.5341319954899157
1.0,3,EGP,-289.50667253381243,0.3603600863132019
1.0,3,FPRL,-203.6071200049373,0.457078019859423
1.0,3,PPO,-115.40405296413553,0.5787947091406451
1.0,4,EGP,-134.56908340733636,0.5277610283023342
1.0,4,FPRL,-198.29277154867833,0.4682320935820415
1.0,4,PPO,-197.23388619517746,0.5018633555720093
1.0,5,EGP,-276.4424785163222,0.3776270787783581
1.0,5,FPRL,-202.5674755785004,0.4542204747819895
1.0,5,PPO,-124.47935589367121,0.5285840576737996
1.0,6,EGP,-142.72750502474105,0.5220369682168277
1.0,6,FPRL,-207.69294858646208,0.4636859089130177
1.0,6,PPO,-100.19695265512402,0.6190681606146684
1.0,7,EGP,-138.60245695239036,0.4905646926274098
1.0,7,FPRL,-201.35245234901208,0.4549610734270838
1.0,7,PPO,-422.0989337730962,0.12876392064786973
1.0,8,EGP,-89.59244582489161,0.554221601212946
1.0,8,FPRL,-193.2396759404897,0.4668373774748897
1.0,8,PPO,-107.1816083577471,0.47499105570107264
1.0,9,EGP,-78.02368630384744,0.5821066888255717
1.0,9,FPRL,-217.49925916465665,0.4489050295094612
1.0,9,PPO,-94.1287011994242,0.5632919350023677
1.0,10,EGP,-138.43471840727267,0.5378023730499482
1.0,10,FPRL,-193.69373857209507,0.4823447786416502
1.0,10,PPO,-134.26503904952563,0.5642083913762547
1.0,11,EGP,-252.49729793138198,0.38895572843786086
1.0,11,FPRL,-201.70623924169345,0.4557350400778842
1.0,11,PPO,-452.5707983675461,0.09904517322938985
1.0,12,EGP,-126.18551655191348,0.5126561467227525
1.0,12,FPRL,-211.71483218214973,0.44498254706754276
