seed,algo,n_agents,avg_reward,reward_std,collapse_count,final_resource
1,PPO,3,-43.605872316535,0.3692685042983723,2,0.9731558080244692
1,SAC,3,-5.0883674391179605,0.09828133214698583,300,0.0
1,EGP,3,-43.605872316535,0.3692685042983723,2,0.9731558080244692
1,FPRL,3,-5.070243954559645,0.09644883649846815,300,0.02499997615814209
1,ICRL,3,-43.605872316535,0.3692685042983723,2,0.9731558080244692
2,PPO,3,-43.68529833777495,0.3538132466826398,2,0.9886861919134269
2,SAC,3,-5.104703655412216,0.125834181595509,300,0.0
2,EGP,3,-43.68529833777495,0.3538132466826398,2,0.9886861919134269
2,FPRL,3,-5.050566253084031,0.09620133803242513,300,0.0
2,ICRL,3,-43.68529833777495,0.3538132466826398,2,0.9886861919134269
3,PPO,3,-43.658241789293,0.2827845243859494,16,0.9906869092606974
3,SAC,3,-5.070708015236462,0.10191872976090016,300,0.04022026062011719
3,EGP,3,-43.658241789293,0.2827845243859494,16,0.9906869092606974
3,FPRL,3,-5.069523107454039,0.10577237216790089,300,0.0
3,ICRL,3,-43.658241789293,0.2827845243859494,16,0.9906869092606974
4,PPO,3,-43.692433681126474,0.28285877617344407,3,0.9833033858382249
4,SAC,3,-5.064743120282309,0.0915881497531362,300,0.04134512868581863
4,EGP,3,-43.692433681126474,0.28285877617344407,3,0.9833033858382249
4,FPRL,3,-5.104240994391197,0.12087699292002863,300,0.0
4,ICRL,3,-43.692433681126474,0.28285877617344407,3,0.9833033858382249
5,PPO,3,-43.69237780554915,0.3090928800873696,7,0.9758289225710975
5,SAC,3,-5.047931430427587,0.09391476422568075,300,0.0
5,EGP,3,-43.69237780554915,0.3090928800873696,7,0.9758289225710975
5,FPRL,3,-5.087089206722275,0.1227996327642899,300,0.02499997615814209
5,ICRL,3,-43.69237780554915,0.3090928800873696,7,0.9758289225710975
6,PPO,3,-43.69196384646542,0.34427033249146016,4,0.9811540081796746
6,SAC,3,-5.052602796823359,0.08118875389170375,300,0.0
6,EGP,3,-43.69196384646542,0.34427033249146016,4,0.9811540081796746
6,FPRL,3,-5.075822885492007,0.10321499170452669,300,0.02499997615814209
6,ICRL,3,-43.69196384646542,0.34427033249146016,4,0.9811540081796746
7,PPO,3,-43.7275124277426,0.345654305176471,2,0.9766452241298963
7,SAC,3,-5.09195589498213,0.12516916989652102,300,0.0
7,EGP,3,-43.7275124277426,0.345654305176471,2,0.9766452241298963
7,FPRL,3,-5.0709344590841505,0.07431412614614863,300,0.02499997615814209
7,ICRL,3,-43.7275124277426,0.345654305176471,2,0.9766452241298963
8,PPO,3,-43.66263987273999,0.3265956391584739,2,0.9768539116658591
8,SAC,3,-5.069313225097605,0.10396432083279483,300,0.0
8,EGP,3,-43.66263987273999,0.3265956391584739,2,0.9768539116658591
8,FPRL,3,-5.051775358290088,0.08342493214144406,300,0.009949154544179287
8,ICRL,3,-43.66263987273999,0.3265956391584739,2,0.9768539116658591
9,PPO,3,-43.72412921963101,0.33533298685332097,3,0.9702107641694367
9,SAC,3,-5.078364311884613,0.11878258712868012,300,0.0
9,EGP,3,-43.72412921963101,0.33533298685332097,3,0.9702107641694367
9,FPRL,3,-5.078094767989511,0.09350229749628568,300,0.0
9,ICRL,3,-43.72412921963101,0.33533298685332097,3,0.9702107641694367
10,PPO,3,-43.63940629369499,0.3475779290191965,2,0.9829997212350721
10,SAC,3,-5.0423721542058,0.08015219217087999,300,0.039139154385131616
10,EGP,3,-43.63940629369499,0.3475779290191965,2,0.9829997212350721
10,FPRL,3,-5.061151932422478,0.08675108245948857,300,0.0
10,ICRL,3,-43.63940629369499,0.3475779290191965,2,0.9829997212350721
11,PPO,3,-43.67796498884749,0.36597503299981987,4,0.9631649848154317
11,SAC,3,-5.071059862803635,0.09829645105847803,300,0.03451821347485083
11,EGP,3,-43.67796498884749,0.36597503299981987,4,0.9631649848154317
11,FPRL,3,-5.086364385797275,0.09262347751399257,300,0.0
11,ICRL,3,-43.67796498884749,0.36597503299981987,4,0.9631649848154317
12,PPO,3,-43.62358850176043,0.313734785951548,4,0.9628659689088427
12,SAC,3,-5.0681483868918225,0.08566353800990986,300,0.0
12,EGP,3,-43.62358850176043,0.313734785951548,4,0.9628659689088427
12,FPRL,3,-5.0673877552519695,0.08126584645906161,300,0.0
12,ICRL,3,-43.62358850176043,0.313734785951548,4,0.9628659689088427
13,PPO,3,-43.72069539867753,0.27076749292863866,3,0.9652624322072374
13,SAC,3,-5.04844088575391,0.08496739042141585,300,0.0
13,EGP,3,-43.72069539867753,0.27076749292863866,3,0.9652624322072374
13,FPRL,3,-5.056483319624372,0.08351127015390189,300,0.0
13,ICRL,3,-43.72069539867753,0.27076749292863866,3,0.9652624322072374
14,PPO,3,-43.629813803761316,0.366599724256701,14,0.9872094707654285
14,SAC,3,-5.093007087142211,0.09823715550019801,300,0.0
14,EGP,3,-43.629813803761316,0.366599724256701,14,0.9872094707654285
14,FPRL,3,-5.07624646877833,0.08234238221968228,300,0.0
14,ICRL,3,-43.629813803761316,0.366599724256701,14,0.9872094707654285
15,PPO,3,-43.610518587317294,0.3570270197814986,1,0.9747966281308273
15,SAC,3,-5.077077190444007,0.10575658702319421,300,0.02499997615814209
15,EGP,3,-43.610518587317294,0.3570270197814986,1,0.9747966281308273
15,FPRL,3,-5.069555423789852,0.10586280874819963,300,0.0
15,ICRL,3,-43.610518587317294,0.3570270197814986,1,0.9747966281308273
16,PPO,3,-43.73636329810746,0.37673114805114416,7,0.9732038690692614
16,SAC,3,-5.070691065010236,0.09599080425090066,300,0.0
16,EGP,3,-43.73636329810746,0.37673114805114416,7,0.9732038690692614
16,FPRL,3,-5.0623498555216475,0.09969562479861488,300,0.0
16,ICRL,3,-43.73636329810746,0.37673114805114416,7,0.9732038690692614
17,PPO,3,-43.66785319085644,0.3738325413377381,11,0.9922268102175796
17,SAC,3,-5.062616616454504,0.1148230050458805,300,0.0
17,EGP,3,-43.66785319085644,0.3738325413377381,11,0.9922268102175796
17,FPRL,3,-5.065546213205331,0.09487939696160207,300,0.0
17,ICRL,3,-43.66785319085644,0.3738325413377381,11,0.9922268102175796
18,PPO,3,-43.70663540297397,0.3615236123049092,3,0.9757332374311553
18,SAC,3,-5.056866037186053,0.10622485390442611,300,0.0
18,EGP,3,-43.70663540297397,0.3615236123049092,3,0.9757332374311553
18,FPRL,3,-5.073244347111097,0.0782474763842127,300,0.0
18,ICRL,3,-43.70663540297397,0.3615236123049092,3,0.9757332374311553
19,PPO,3,-43.76745365050447,0.2712652961804023,5,0.9735815775701034
19,SAC,3,-5.063105574797457,0.10447368177369826,300,0.032537554024082524
19,EGP,3,-43.76745365050447,0.2712652961804023,5,0.9735815775701034
19,FPRL,3,-5.077327259677886,0.08431240856935242,300,0.0
19,ICRL,3,-43.76745365050447,0.2712652961804023,5,0.9735815775701034
20,PPO,3,-43.67054136065616,0.40866772964611753,14,0.9683400341393694
20,SAC,3,-5.096022078986427,0.1183928493602767,300,0.0
20,EGP,3,-43.67054136065616,0.40866772964611753,14,0.9683400341393694
20,FPRL,3,-5.072567082661199,0.09083647132431771,300,0.0
20,ICRL,3,-43.67054136065616,0.40866772964611753,14,0.9683400341393694
21,PPO,3,-43.678315510847234,0.30210736458147086,10,0.9931026672521333
21,SAC,3,-5.05199713524576,0.0900326789075301,300,0.0
21,EGP,3,-43.678315510847234,0.30210736458147086,10,0.9931026672521333
21,FPRL,3,-5.06126793945163,0.08146046374674537,300,0.0
21,ICRL,3,-43.678315510847234,0.30210736458147086,10,0.9931026672521333
22,PPO,3,-43.61689547957304,0.337638468272634,4,0.9750790413437724
22,SAC,3,-5.0744017441255975,0.09227341425651026,300,0.0
22,EGP,3,-43.61689547957304,0.337638468272634,4,0.9750790413437724
22,FPRL,3,-5.069778244013126,0.07852650579525378,300,0.0031725720688697834
22,ICRL,3,-43.61689547957304,0.337638468272634,4,0.9750790413437724
23,PPO,3,-43.645756174867294,0.29871494065119253,6,0.9643398486216849
23,SAC,3,-5.072476038013783,0.11876345418820208,300,0.0
23,EGP,3,-43.645756174867294,0.29871494065119253,6,0.9643398486216849
23,FPRL,3,-5.072435196373073,0.08659037904980016,300,0.0
23,ICRL,3,-43.645756174867294,0.29871494065119253,6,0.9643398486216849
24,PPO,3,-43.73745473065816,0.2853627521741676,7,0.9674513736856495
24,SAC,3,-5.055341493679831,0.10054109798688256,300,0.009949154544179287
24,EGP,3,-43.73745473065816,0.2853627521741676,7,0.9674513736856495
24,FPRL,3,-5.082612074349692,0.1058990934012758,300,0.0
24,ICRL,3,-43.73745473065816,0.2853627521741676,7,0.9674513736856495
25,PPO,3,-43.70328922169185,0.39372727491204823,1,0.9752194159103812
25,SAC,3,-5.062910367516217,0.07895864001232238,300,0.0
25,EGP,3,-43.70328922169185,0.39372727491204823,1,0.9752194159103812
25,FPRL,3,-5.061921303248385,0.1029835953945323,300,0.02681922867894171
25,ICRL,3,-43.70328922169185,0.39372727491204823,1,0.9752194159103812
26,PPO,3,-43.71513641615737,0.26638723931795677,1,0.9685798271711837
26,SAC,3,-5.08802463886305,0.10041599811420052,300,0.0
26,EGP,3,-43.71513641615737,0.26638723931795677,1,0.9685798271711837
26,FPRL,3,-5.079276638553012,0.08881999768796625,300,0.0
26,ICRL,3,-43.71513641615737,0.26638723931795677,1,0.9685798271711837
27,PPO,3,-43.59205476326007,0.37807310817521117,10,0.9859372685974016
